State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
1	0.9605561786477027	0.03339936167387139	0.001422097776744749	0.0	0.0	0.0	0.0	2.675458869576012E-5	0.0	0.0	1.437241072756104E-5	0.0	0.0	0.004060345950390814	5.208889518669459E-4
2	0.004375687723253646	0.9766427288625213	0.005568150683036561	0.0	5.103678409063713E-4	0.0	0.0	0.0040836710168848525	3.6548630521232074E-4	8.870034890675746E-5	3.809193157398188E-5	3.4447111324815586E-4	1.274508746459202E-6	2.9423106094876036E-4	0.00768713860476099
3	0.002219147790395798	0.06851953836839977	0.9211302656975113	0.004759047982004929	0.0	0.0	0.0	0.0011213125314278407	5.394128887096514E-4	1.1038715202725956E-5	3.250039643267953E-5	1.9248184340548257E-4	0.0	4.983311441579167E-4	9.769226423518172E-4
4	0.0	0.0	0.0483055958755569	0.8484500826878316	0.07350516384438326	0.0181405808115438	0.002021032151803074	0.004120481660727734	0.0034364847066043432	0.0	0.0	7.950603566717772E-4	7.164357462978684E-4	5.090821585795744E-4	0.0
5	0.0	0.0050065643132610575	0.0	0.005975906242983935	0.9663691855825045	0.010006333067840061	0.0015699974479708504	0.010314884980592137	1.014678995930848E-4	0.0	6.838712594936991E-8	4.915501259937129E-4	1.640419521342066E-4	0.0	0.0
6	9.337930767986706E-6	0.0	0.0	0.0033242285215791968	0.022579472946032415	0.9226405480601259	0.049307998046442356	1.799371279646154E-4	0.0	0.0	3.066285612348981E-6	2.4683364396428794E-4	0.001708577437510896	0.0	0.0
7	0.0	0.0	0.0	9.689664438081995E-4	0.010251143425475723	0.14053186201293383	0.7685769317728103	0.010786611310887373	0.0027514948988364464	1.351622063393762E-4	0.0	0.0	0.06599782792890892	0.0	0.0
8	1.4823966855498577E-4	0.10785964026237532	0.0019129632959172128	9.753017986201236E-4	0.02780496475491871	1.644993837293404E-4	0.004574041480654023	0.7427040029161552	0.10236137857131182	0.006084609435709273	2.4025905948974453E-7	0.0021787876576560066	0.0	1.7422563583764615E-4	0.0030571048795008044
9	0.0	0.022732417634334832	0.002763012684822811	0.0019350961816283526	0.0010206488832254182	0.0	0.0030027152271550612	0.24457298988620915	0.5843318615724838	0.10597586196291532	0.0	0.003200567400415624	0.0021226679951836204	0.001234364335045211	0.027107796236580637
10	0.0	0.008616284512495216	7.790847636271026E-5	1.0143751386574394E-4	3.381172896631384E-4	0.0	0.0	0.024930911978161756	0.18328800619445945	0.66568975101776	0.06642391783529511	0.01922575685362223	0.006980688165567234	0.007670003158581991	0.016657217004165524
11	1.82519202864278E-4	0.0033396010800955628	3.162778304889802E-4	0.0	2.837596435985269E-5	0.0	0.0	2.3524320344841545E-5	0.0	0.06061835904462163	0.7779734372626578	0.07014447604957243	0.0543112275368432	0.030302564223686948	0.0027596374844643798
12	3.035991028368557E-4	0.14516399424628695	0.005493552463057875	0.002262672461039283	0.02053793697241663	0.0052830564819023	0.0	0.03653247609266005	0.016730603639377183	0.07117696309052848	0.2826039504825662	0.367037005190081	0.036428190314289274	0.01044459520838403	1.4042545739734925E-6
13	0.0	0.0	0.0	8.61179359013206E-4	0.0015333476263347857	0.008581918348430563	0.10900217374385758	0.001080477154533646	0.003452973009592193	0.006247137738072362	0.0520688161754218	0.00869430042960065	0.8084776764151432	0.0	0.0
14	0.11129476787916773	0.06447383414021361	0.007864067814964387	0.0010644981741324592	0.0	0.0	0.0	9.48042483140515E-4	0.00263692478225958	0.01673301646598243	0.066067557086955	0.005520674080328656	0.0	0.6184333007429154	0.10496331634994029
15	0.0027756577662019677	0.37059762427010134	0.005223671649042687	0.0	0.0	0.0	0.0	0.006000830978883738	0.020197667984818406	0.007843207002802124	9.276122323700545E-4	0.0	0.0	0.0231672399556442	0.5632664881601354
