15	10	E	-9710645.990288706	106
transitionprobs	11	7	0.0
transitionprobs	11	8	2.3524320344841545E-5
transitionprobs	11	9	0.0
transitionprobs	11	10	0.06061835904462163
transitionprobs	11	11	0.7779734372626578
transitionprobs	11	12	0.07014447604957243
transitionprobs	11	13	0.0543112275368432
transitionprobs	11	14	0.030302564223686948
transitionprobs	11	15	0.0027596374844643798
transitionprobs	12	1	3.035991028368557E-4
transitionprobs	12	2	0.14516399424628695
transitionprobs	12	3	0.005493552463057875
transitionprobs	12	4	0.002262672461039283
transitionprobs	12	5	0.02053793697241663
transitionprobs	12	6	0.0052830564819023
transitionprobs	12	7	0.0
transitionprobs	12	8	0.03653247609266005
transitionprobs	12	9	0.016730603639377183
transitionprobs	12	10	0.07117696309052848
transitionprobs	12	11	0.2826039504825662
transitionprobs	12	12	0.367037005190081
transitionprobs	12	13	0.036428190314289274
transitionprobs	12	14	0.01044459520838403
transitionprobs	12	15	1.4042545739734925E-6
transitionprobs	13	1	0.0
transitionprobs	13	2	0.0
transitionprobs	13	3	0.0
transitionprobs	13	4	8.61179359013206E-4
transitionprobs	13	5	0.0015333476263347857
transitionprobs	13	6	0.008581918348430563
transitionprobs	13	7	0.10900217374385758
transitionprobs	13	8	0.001080477154533646
transitionprobs	13	9	0.003452973009592193
transitionprobs	13	10	0.006247137738072362
transitionprobs	13	11	0.0520688161754218
transitionprobs	13	12	0.00869430042960065
transitionprobs	13	13	0.8084776764151432
transitionprobs	13	14	0.0
transitionprobs	13	15	0.0
transitionprobs	14	1	0.11129476787916773
transitionprobs	14	2	0.06447383414021361
transitionprobs	14	3	0.007864067814964387
transitionprobs	14	4	0.0010644981741324592
transitionprobs	14	5	0.0
transitionprobs	14	6	0.0
transitionprobs	14	7	0.0
transitionprobs	14	8	9.48042483140515E-4
transitionprobs	14	9	0.00263692478225958
transitionprobs	14	10	0.01673301646598243
transitionprobs	14	11	0.066067557086955
transitionprobs	14	12	0.005520674080328656
transitionprobs	14	13	0.0
transitionprobs	14	14	0.6184333007429154
transitionprobs	14	15	0.10496331634994029
transitionprobs	15	1	0.0027756577662019677
transitionprobs	15	2	0.37059762427010134
transitionprobs	15	3	0.005223671649042687
transitionprobs	15	4	0.0
transitionprobs	15	5	0.0
transitionprobs	15	6	0.0
transitionprobs	15	7	0.0
transitionprobs	15	8	0.006000830978883738
transitionprobs	15	9	0.020197667984818406
transitionprobs	15	10	0.007843207002802124
transitionprobs	15	11	9.276122323700545E-4
transitionprobs	15	12	0.0
transitionprobs	15	13	0.0
transitionprobs	15	14	0.0231672399556442
transitionprobs	15	15	0.5632664881601354
emissionprobs	1	0	H2az	0	0.9911186856340641
emissionprobs	1	0	H2az	1	0.008881314365935861
emissionprobs	1	1	H3k04me1	0	0.9976229749823424
emissionprobs	1	1	H3k04me1	1	0.0023770250176574684
emissionprobs	1	2	H3k04me2	0	0.998889693122853
emissionprobs	1	2	H3k04me2	1	0.0011103068771470658
emissionprobs	1	3	H3k04me3	0	0.9999489439618756
emissionprobs	1	3	H3k04me3	1	5.10560381244761E-5
emissionprobs	1	4	H3k09ac	0	0.9999663956084123
emissionprobs	1	4	H3k09ac	1	3.3604391587740924E-5
emissionprobs	1	5	H3k09me3	0	0.9856787659741661
emissionprobs	1	5	H3k09me3	1	0.014321234025833884
emissionprobs	1	6	H3k27ac	0	0.9998926035046324
emissionprobs	1	6	H3k27ac	1	1.0739649536766511E-4
emissionprobs	1	7	H3k27me3	0	0.6029728231714966
emissionprobs	1	7	H3k27me3	1	0.39702717682850325
emissionprobs	1	8	H3k36me3	0	0.9996321913787128
emissionprobs	1	8	H3k36me3	1	3.6780862128715786E-4
emissionprobs	1	9	H3k79me2	0	0.9999161260003638
emissionprobs	1	9	H3k79me2	1	8.387399963615254E-5
emissionprobs	2	0	H2az	0	0.9963072774967718
emissionprobs	2	0	H2az	1	0.0036927225032282202
emissionprobs	2	1	H3k04me1	0	0.9991425212209377
emissionprobs	2	1	H3k04me1	1	8.574787790622114E-4
emissionprobs	2	2	H3k04me2	0	0.9999772478305748
emissionprobs	2	2	H3k04me2	1	2.2752169425087365E-5
emissionprobs	2	3	H3k04me3	0	0.9999868836684108
emissionprobs	2	3	H3k04me3	1	1.3116331589121808E-5
emissionprobs	2	4	H3k09ac	0	0.9999698396248136
emissionprobs	2	4	H3k09ac	1	3.016037518645865E-5
emissionprobs	2	5	H3k09me3	0	0.9948474600543842
emissionprobs	2	5	H3k09me3	1	0.005152539945615935
emissionprobs	2	6	H3k27ac	0	0.9999158228986336
emissionprobs	2	6	H3k27ac	1	8.417710136648693E-5
emissionprobs	2	7	H3k27me3	0	0.9951059515636118
emissionprobs	2	7	H3k27me3	1	0.0048940484363882595
emissionprobs	2	8	H3k36me3	0	0.9990999953883393
emissionprobs	2	8	H3k36me3	1	9.000046116606761E-4
emissionprobs	2	9	H3k79me2	0	0.9998236286901157
emissionprobs	2	9	H3k79me2	1	1.7637130988424487E-4
emissionprobs	3	0	H2az	0	0.9945028571656195
emissionprobs	3	0	H2az	1	0.00549714283438055
emissionprobs	3	1	H3k04me1	0	0.9994007308003227
emissionprobs	3	1	H3k04me1	1	5.99269199677353E-4
emissionprobs	3	2	H3k04me2	0	0.9999034644469361
emissionprobs	3	2	H3k04me2	1	9.653555306382028E-5
emissionprobs	3	3	H3k04me3	0	0.9998025850074509
emissionprobs	3	3	H3k04me3	1	1.974149925491449E-4
emissionprobs	3	4	H3k09ac	0	0.9999649615484003
emissionprobs	3	4	H3k09ac	1	3.503845159969051E-5
emissionprobs	3	5	H3k09me3	0	0.69538128119165
emissionprobs	3	5	H3k09me3	1	0.30461871880835
emissionprobs	3	6	H3k27ac	0	0.9999308942316398
emissionprobs	3	6	H3k27ac	1	6.910576836021701E-5
emissionprobs	3	7	H3k27me3	0	0.9942892292107396
emissionprobs	3	7	H3k27me3	1	0.005710770789260427
emissionprobs	3	8	H3k36me3	0	0.9923568018822168
emissionprobs	3	8	H3k36me3	1	0.007643198117783256
emissionprobs	3	9	H3k79me2	0	0.9997820440708387
emissionprobs	3	9	H3k79me2	1	2.1795592916141083E-4
